ITEM NO.,DESCRIPTION,QUANTITY
SF-FLM0522,FILM NADEC FPC SALT 21g,670.1423
SF-FLM0521,FILM NADEC FPC SALT & VINEGAR 21g,681.3673
SF-MIC0048,STRECH FILM,1058.5690000000002
SF-MIC0003,OTH-CODING FOIL (MARKEM),582.28246
SF-CR0001,CLR-PAPRIKA OIL,202.3598012
SF-FLM0520,FILM NADEC FPC CHEESE 21g,349.1615999999999
SF-OTH0004,ONION POWDER,393.67101
SF-FLV0023,FLV-CHILLI SEASONING FP- 700031641 (SYMEGA).,15300.305
SF-OIL0001,PALMOLIEN,131246.08000000002
SF-OTH0003,SUGAR,5801.9698579
SF-FLV0069,FLV-SOUR CREAM & ONION (Griffco) D250075,2047.414697
SF-FLM0509,FILM NADEC FPC KETCHUP 155g,-369.78400000000005
SF-FLM0508,FILM NADEC FPC CHILLI 155g,480.6479999999999
SF-FLV0027,FLV-KETCHUP SEASONING - 700031638 (SYMEGA).,1005.3758715000001
SF-FLV0028,FLV-SALT (LOCAL),4927.381403
SF-FLV0008,FLV-SALT & VIN FROMATECH 2059.009,4737.963629399999
SF-CTN0365,CTN-NADEC Direct Master Brown 155g X 12p,-22173.0
SF-CTN0364,CTN-NADEC Direct Master Brown 40g X 28p,-15117.0
SF-CTN0363,CTN-NADEC Duplex Master Brown 21g X 5box X 12p,-5629.0
SF-CTN0362,CTN-NADEC Polybag Master Brown 21g X 2b X 25p,-3290.0
SF-MIC0022,OTH-TRANSPARENT TAPE (1000M),783.0285
SF-DUP0106,DUPLEX BOX - NADEC FPC SALT & VINEGAR - 21g X 12p,-1284.8999999999999
SF-FLM0512,FILM NADEC FPC SALT & VINEGAR 155g,-245.226
SF-FLM0511,FILM NADEC FPC SALT 155g,-146.41400000000002
SF-FLM0510,FILM NADEC FPC CHEESE 155g,109.72199999999998
SF-DUP0102,DUPLEX BOX - NADEC FPC CHILLI - 21g X 12p,-1031.300000000001
SF-FLM0516,FILM NADEC FPC SALT 40g,-79.7052
SF-DUP0103,DUPLEX BOX - NADEC FPC KETCHUP - 21g X 12p,2528.05
SF-FLM0515,FILM NADEC FPC CHEESE 40g,547.8025
SF-DUP0104,DUPLEX BOX - NADEC FPC CHEESE - 21g X 12p,-3576.1000000000004
SF-FLM0514,FILM NADEC FPC KETCHUP 40g,422.6448
SF-DUP0105,DUPLEX BOX - NADEC FPC SALT - 21g X 12p,1406.35
SF-FLM0513,FILM NADEC FPC CHILLI 40g,604.7227
SF-FLV0014,FLV-SALT (For flavouring) (Fine 50 Red Bag),1707.69677
SF-FLM0519,FILM NADEC FPC KETCHUP 21g,379.2302
SF-FLV0035,FLV - Red Chilli Pepper Powder (Esnad) Wesee Torti,138.12753500000002
SF-FLM0518,FILM NADEC FPC CHILLI 21g,774.3456000000001
SF-FLM0517,FILM NADEC FPC SALT & VINEGAR 40g,176.7531
SF-FLV0018,FLV-KETCHUP FROMATECH SE 2145.028,4055.0418715
SF-FLV0017,FLV-CHEESE FROMATECH CFB 323.015,5887.754707
SF-POT0001,POTATO,667951.2583999999
SF-PBG0261,POLYBAG NADEC FPC KETCHUP 21g X 25p,139.76
SF-PBG0262,POLYBAG NADEC FPC CHEESE 21g X 25p,168.07999999999998
SF-PBG0263,POLYBAG NADEC FPC SALT 21g X 25p,240.62
SF-PBG0264,POLYBAG NADEC FPC SALT & VINEGAR 21g X 25p,240.62
SF-PBG0260,POLYBAG NADEC FPC CHILLI 21g X 25p,151.92
SF-MIC0033,USED WOODEN PALLETS,9997752.5008
